VehicleName	TimeStamp	POS_X	POS_Y	POS_Z	Q_W	Q_X	Q_Y	Q_Z	ImageFile
Drone1	1750873791117	31.2095	-12.9694	-10.3325	0.998793	0.0483545	0.0084233	-0.00203472	img_Drone1__0_1750873963077989000.png
Drone1	1750873791414	31.013	-13.3356	-10.1261	0.997935	-0.0298368	0.0567458	0.00401908	img_Drone1__0_1750873963431882600.png
Drone1	1750873791690	30.7474	-13.7137	-9.94308	0.998248	-0.0329228	0.0488624	0.0053485	img_Drone1__0_1750873963788649700.png
Drone1	1750873791972	30.4021	-14.1489	-9.75189	0.99904	-0.0253261	0.0352713	0.00573445	img_Drone1__0_1750873964154214400.png
Drone1	1750873792275	29.9932	-14.632	-9.65871	0.994688	0.079004	-0.0657357	0.00575901	img_Drone1__0_1750873964537636400.png
Drone1	1750873792554	29.7178	-14.9485	-9.76857	0.989941	0.106119	-0.0933589	0.00638155	img_Drone1__0_1750873964901618800.png
Drone1	1750873792848	29.6122	-15.1147	-9.93804	0.99112	0.049416	-0.123415	-0.00298809	img_Drone1__0_1750873965268887500.png
Drone1	1750873793151	29.7102	-15.1932	-10.0706	0.995225	0.027842	-0.0934544	-0.00428641	img_Drone1__0_1750873965640929800.png
Drone1	1750873793427	29.9387	-15.2225	-10.1318	0.997674	0.0181019	-0.0655776	-0.00438518	img_Drone1__0_1750873966001466400.png
Drone1	1750873793706	30.2648	-15.2257	-10.1529	0.99996	0.00737416	0.00320466	-0.00393331	img_Drone1__0_1750873966365604700.png
Drone1	1750873794018	30.6164	-15.2165	-10.1554	0.99676	-0.0012318	0.0803646	-0.00308954	img_Drone1__0_1750873966753055700.png
Drone1	1750873794276	30.7939	-15.2039	-10.1744	0.991719	0.0448344	0.12012	-0.00735974	img_Drone1__0_1750873967086193800.png
Drone1	1750873794576	30.8064	-15.1211	-10.2126	0.992878	0.0535762	0.105981	-0.0095323	img_Drone1__0_1750873967447283100.png
Drone1	1750873794861	30.6553	-14.9601	-10.189	0.996191	0.0412998	0.0761438	-0.00999517	img_Drone1__0_1750873967816736500.png
Drone1	1750873795146	30.3888	-14.7354	-10.1173	0.998183	0.0290272	0.0518082	-0.0101647	img_Drone1__0_1750873968185867500.png
Drone1	1750873795602	29.9023	-14.3584	-10.1103	0.995253	-0.0588431	-0.07678	-0.0106714	img_Drone1__0_1750873968757270200.png
Drone1	1750873795863	29.7297	-14.2286	-10.0915	0.996451	-0.0561671	-0.0615713	-0.0117902	img_Drone1__0_1750873969098118000.png
Drone1	1750873796136	29.6088	-14.1475	-9.84659	0.998295	-0.0417621	-0.0388408	-0.0124065	img_Drone1__0_1750873969462505200.png
Drone1	1750873796418	29.5415	-14.1264	-9.56495	0.999182	-0.0289417	-0.0252895	-0.0125764	img_Drone1__0_1750873969835908600.png
Drone1	1750873796724	29.5128	-14.1554	-9.25704	0.99961	-0.0189544	-0.0161695	-0.0126369	img_Drone1__0_1750873970209058600.png
Drone1	1750873797006	29.5141	-14.212	-9.11506	0.999892	0.00735932	-0.00220306	-0.0125458	img_Drone1__0_1750873970574438000.png
Drone1	1750873797322	29.5242	-14.2659	-9.15543	0.9998	0.0154264	0.00206505	-0.0125373	img_Drone1__0_1750873970979338100.png
Drone1	1750873797577	29.5288	-14.284	-9.17526	0.997356	0.068652	0.0203041	-0.012459	img_Drone1__0_1750873971327006300.png
Drone1	1750873797871	29.5052	-14.2019	-9.22706	0.996673	0.0768879	0.023957	-0.0125638	img_Drone1__0_1750873971716709100.png
Drone1	1750873798306	29.4039	-13.8572	-9.27214	0.99865	0.0480805	0.0149996	-0.0126777	img_Drone1__0_1750873972279610900.png
Drone1	1750873798732	29.2591	-13.3681	-9.26823	0.998148	-0.0568268	-0.0174037	-0.0129953	img_Drone1__0_1750873972825578000.png
Drone1	1750873799014	29.1842	-13.1176	-9.28783	0.997165	-0.0655172	-0.0349999	-0.0120427	img_Drone1__0_1750873973193263100.png
Drone1	1750873799443	29.2038	-12.8388	-9.12985	0.996699	0.0233056	-0.077684	-0.0036624	img_Drone1__0_1750873973743801100.png
Drone1	1750873799854	29.4704	-12.5144	-8.93935	0.998592	0.019442	-0.0492681	-0.00301954	img_Drone1__0_1750873974281906400.png
Drone1	1750873800124	29.7393	-12.2664	-8.80339	0.99994	-0.0103773	-0.000988613	-0.0033324	img_Drone1__0_1750873974643994200.png
Drone1	1750873800439	30.0466	-12.0071	-8.82862	0.995891	-0.0590761	0.0685629	-0.00325509	img_Drone1__0_1750873975037800600.png
Drone1	1750873800712	30.2028	-11.8517	-8.92339	0.992744	0.0906568	0.0775234	-0.0151732	img_Drone1__0_1750873975399362700.png
Drone1	1750873801009	30.2079	-11.5249	-9.28457	0.989634	0.129018	0.0597481	-0.0202352	img_Drone1__0_1750873975769583700.png
Drone1	1750873801312	30.1123	-10.9744	-9.60635	0.994008	0.0994386	0.0401406	-0.0211962	img_Drone1__0_1750873976149139500.png
Drone1	1750873801723	29.8856	-9.97803	-9.90025	0.998444	-0.0508453	-0.00864749	-0.0212004	img_Drone1__0_1750873976708448900.png
Drone1	1750873802029	29.7187	-9.2933	-9.97748	0.985069	-0.16544	-0.0423045	-0.0218743	img_Drone1__0_1750873977106404900.png
Drone1	1750873802311	29.6093	-8.94201	-10.0959	0.984876	-0.150894	0.0735599	-0.0428794	img_Drone1__0_1750873977453580400.png
Drone1	1750873802587	29.3562	-8.92939	-10.5349	0.987564	-0.10978	0.100098	-0.0514394	img_Drone1__0_1750873977816884500.png
Drone1	1750873802869	28.9274	-9.09818	-11.0167	0.992665	-0.0750192	0.0785181	-0.0531249	img_Drone1__0_1750873978182525200.png
Drone1	1750873803151	28.3837	-9.36754	-11.4087	0.995807	-0.0503578	0.0545696	-0.0534253	img_Drone1__0_1750873978544722000.png
Drone1	1750873803454	27.7352	-9.7155	-11.6587	0.991234	0.0583442	-0.107569	-0.0497907	img_Drone1__0_1750873978908677400.png
Drone1	1750873803739	27.2536	-9.98331	-11.6769	0.986391	0.0664389	-0.14199	-0.049573	img_Drone1__0_1750873979271176900.png
Drone1	1750873804015	26.9819	-10.2256	-11.7619	0.989226	-0.123875	-0.0374526	-0.0684413	img_Drone1__0_1750873979629829200.png
Drone1	1750873804294	26.7773	-10.6643	-11.9618	0.989734	-0.123788	-0.0109315	-0.0705936	img_Drone1__0_1750873979988055200.png
Drone1	1750873804579	26.5747	-11.2938	-12.1091	0.99318	-0.0924047	-0.00351977	-0.0710091	img_Drone1__0_1750873980336796800.png
Drone1	1750873804828	26.3948	-11.9566	-12.1905	0.997357	-0.0142061	-0.00923709	-0.0706555	img_Drone1__0_1750873980658944800.png
Drone1	1750873805128	26.2048	-12.7205	-12.2705	0.983239	0.16504	-0.0379422	-0.0675454	img_Drone1__0_1750873981040504900.png
