TIME,POS_X,POS_Y,POS_Z,VEL_X,VEL_Y,VEL_Z,LABEL,SPOOF_TYPE
1752501280.326,19.184,32.141,-29.941,1.501,-0.559,-0.487,0,none
1752501281.593,19.421,32.446,-30.635,-1.076,1.260,-0.117,0,none
1752501282.802,18.110,33.262,-30.667,-1.072,-0.035,0.057,0,none
1752501284.027,17.351,33.608,-30.296,-0.308,0.906,0.459,0,none
1752501285.236,17.505,34.896,-30.231,0.553,1.349,0.025,0,none
1752501286.442,17.916,36.271,-30.432,0.091,1.149,-0.227,0,none
1752501287.632,17.779,37.455,-30.731,-0.309,1.052,-0.303,0,none
1752501288.870,18.058,39.510,-31.842,0.856,2.762,-0.991,0,none
1752501290.147,19.359,41.483,-32.373,1.462,0.564,-0.045,0,none
1752501291.377,20.044,41.653,-32.297,-0.344,-0.006,0.280,0,none
1752501292.602,19.701,43.019,-33.445,-0.079,2.465,-1.257,0,none
1752501293.804,19.356,45.344,-33.757,-0.686,1.456,0.028,0,none
1752501295.048,17.830,45.533,-33.610,-2.099,-1.040,0.648,0,none
1752501296.264,15.126,45.275,-33.801,-2.718,0.834,-0.148,0,none
1752501297.514,13.892,46.605,-34.357,0.433,1.369,-0.023,0,none
1752501298.721,15.220,48.469,-34.250,1.781,2.116,0.209,0,none
1752501299.947,17.475,49.122,-34.733,2.270,-0.913,-0.107,0,none
1752501301.178,19.615,49.205,-34.136,1.585,1.494,1.143,0,none
1752501302.381,21.736,51.315,-33.696,2.451,2.045,0.266,0,none
1752501303.608,23.040,53.764,-34.317,-0.114,2.458,-0.429,0,none
1752501304.831,21.610,55.799,-34.771,-2.355,1.203,-0.050,0,none
1752501306.047,19.597,57.186,-35.122,-1.072,1.512,-0.278,0,none
1752501307.282,19.858,58.289,-35.493,1.437,0.438,0.074,0,none
1752501308.496,20.402,59.504,-36.485,-0.666,1.926,-0.793,0,none
1752501309.710,20.457,61.520,-36.697,1.135,1.599,0.153,0,none
1752501310.898,21.433,63.376,-36.352,0.370,1.902,0.361,0,none
1752501312.111,21.170,64.603,-36.277,-0.767,0.232,0.252,0,none
1752501313.302,20.459,64.247,-36.486,-0.408,-0.724,-0.230,0,none
1752501314.482,19.724,63.363,-36.739,-1.038,-0.834,-0.238,0,none
1752501315.688,19.443,62.393,-36.567,0.711,-0.955,0.401,0,none
1752501316.875,20.569,60.946,-37.231,1.140,-1.715,-0.830,0,none
1752501318.079,21.133,59.589,-37.255,-0.263,-0.586,0.357,0,none
1752501319.267,20.357,59.845,-37.448,-1.000,0.953,-0.133,0,none
1752501320.475,19.827,59.487,-39.289,0.030,-1.643,-2.165,0,none
1752501321.672,20.726,58.257,-41.111,1.651,-0.318,-1.301,0,none
1752501322.857,22.607,57.811,-41.165,1.640,-0.744,0.286,0,none
1752501324.032,24.079,56.570,-40.683,1.036,-1.522,0.504,0,none
1752501325.224,24.997,56.785,-41.912,0.736,1.853,-1.459,0,none
1752501326.434,24.882,57.284,-43.542,-0.959,-1.187,-0.882,0,none
1752501327.616,23.636,56.122,-44.005,-1.190,-0.565,-0.358,0,none
1752501328.793,23.206,55.408,-44.169,0.500,-0.876,0.039,0,none
1752501329.959,23.918,54.287,-43.922,0.638,-1.153,0.226,0,none
1752501331.149,24.965,54.300,-43.573,1.325,1.297,0.750,0,none
1752501332.335,26.761,54.688,-44.101,1.883,-0.820,-0.610,0,none
1752501333.519,27.598,53.503,-44.994,-0.436,-1.126,-0.548,0,none
1752501334.696,27.007,53.204,-45.498,-0.405,0.659,-0.283,0,none
1752501335.866,26.469,54.476,-44.921,-0.649,1.633,0.713,0,none
1752501337.037,26.453,55.781,-44.432,0.719,0.613,0.570,0,none
1752501338.217,26.623,55.579,-44.789,-0.601,-0.847,-0.293,0,none
1752501339.401,26.370,54.569,-45.034,0.351,-0.890,-0.187,0,none
1752501340.572,26.970,54.162,-44.980,0.655,0.216,0.133,0,none
1752501341.751,28.179,53.649,-45.043,1.589,-1.346,0.099,0,none
1752501342.925,29.922,53.003,-45.190,1.516,0.405,-0.001,0,none
1752501344.109,30.747,52.958,-45.073,-0.055,-0.743,0.342,0,none
1752501345.281,30.054,52.458,-45.057,-1.090,0.042,0.040,0,none
1752501346.453,28.844,52.405,-45.486,-1.055,-0.282,-0.484,0,none
1752501347.628,27.740,52.914,-46.588,-0.998,1.314,-0.984,0,none
1752501348.815,26.228,52.872,-47.262,-1.806,-1.622,0.076,0,none
1752501350.023,26.093,51.460,-47.221,1.633,-0.580,0.687,0,none
1752501351.201,26.984,50.255,-48.105,-0.377,-1.840,-1.109,0,none
1752501352.372,26.637,48.201,-48.033,0.023,-1.791,0.350,0,none
1752501353.551,25.485,46.734,-48.713,-2.218,-0.964,-0.548,0,none
1752501354.736,23.119,46.592,-48.006,-1.829,0.921,1.227,0,none
1752501355.905,20.797,47.907,-48.605,-2.521,1.244,-1.248,0,none
1752501357.111,20.004,48.300,-50.024,1.095,-0.545,-0.439,0,none
1752501358.280,20.399,47.468,-51.104,-0.788,-0.752,-0.905,0,none
1752501359.444,19.375,46.579,-51.241,-0.878,-0.913,-0.015,0,none
1752501360.604,18.395,46.201,-51.372,-0.948,0.314,-0.066,0,none
1752501361.775,18.253,47.030,-50.512,0.903,1.181,1.251,0,none
1752501362.965,17.566,48.224,-50.317,-2.278,0.907,0.341,0,none
1752501364.137,15.103,48.305,-50.641,-1.903,-0.738,-0.308,0,none
1752501365.338,23.813,58.407,-52.520,1.540,1.652,-1.887,1,pos
1752501366.506,25.714,57.166,-54.339,2.485,-0.979,-1.150,1,pos
1752501367.670,29.754,55.804,-55.208,1.912,1.483,-0.295,1,pos
1752501368.840,29.025,54.959,-56.402,1.746,-1.517,-0.889,1,pos
1752501370.009,30.650,54.507,-58.115,-1.495,-0.307,-1.194,1,pos
1752501371.190,21.305,48.037,-58.506,1.029,-0.220,0.298,0,none
1752501372.346,22.571,47.525,-58.085,0.937,-0.733,0.377,0,none
1752501373.506,22.456,46.330,-58.318,-1.133,-1.430,-0.049,0,none
1752501374.676,22.756,44.879,-58.703,1.838,-1.170,0.070,0,none
1752501375.833,24.323,43.628,-58.432,0.640,-1.152,0.339,0,none
1752501377.010,25.264,42.986,-58.758,1.339,0.015,-0.301,0,none
1752501378.167,27.217,43.379,-59.103,2.221,0.633,-0.289,0,none
1752501379.330,28.235,44.448,-59.957,-0.420,1.276,-0.465,0,none
1752501380.492,27.473,45.748,-59.959,-0.754,1.027,0.039,0,none
1752501381.654,25.826,45.975,-59.603,-2.376,-0.678,0.728,0,none
1752501382.826,25.113,45.878,-60.201,1.189,0.733,-0.408,0,none
1752501383.982,26.673,46.153,-60.131,1.358,-0.482,0.202,0,none
1752501385.149,28.692,46.093,-59.297,2.500,0.645,1.066,0,none
1752501386.320,31.037,46.149,-59.387,1.668,-0.699,-0.258,0,none
1752501387.484,31.731,46.221,-59.544,-0.350,1.019,0.287,0,none
1752501388.658,30.917,47.812,-59.377,-0.979,1.740,0.140,0,none
1752501389.814,29.834,49.416,-59.043,-0.970,1.097,0.331,0,none
1752501390.984,30.039,51.091,-58.859,1.412,2.096,0.554,0,none
1752501392.154,30.562,51.320,-60.160,-0.841,-1.821,-1.748,0,none
1752501393.324,29.888,50.642,-60.960,-0.102,1.073,0.217,0,none
1752501394.484,30.820,51.075,-62.087,1.629,-0.671,-1.177,0,none
1752501395.647,32.038,50.872,-62.949,0.401,0.579,-0.533,0,none
1752501396.808,31.512,51.984,-62.437,-1.459,1.406,0.939,0,none
1752501397.982,31.692,53.191,-62.763,1.860,0.748,-0.200,0,none
1752501399.143,33.259,55.124,-64.104,0.715,2.870,-1.291,0,none
